140,48,48
113,150,46
16,46,91
48,83,21
194,96,83
145,25,150
147,91,40
150,39,96
46,21,60
139,60,39
10,174,3
28,10,32
80,194,10
91,3,89
90,32,140
93,89,93
83,140,110
174,147,116
172,40,147
39,16,25
60,67,59
102,95,113
179,110,175
186,148,183
197,157,102
79,28,194
144,81,28
109,112,56
110,116,66
154,192,98
178,80,145
21,145,192
116,179,54
142,54,67
157,113,174
192,175,33
89,33,80
95,66,112
96,70,157
56,102,16
66,120,107
169,129,120
183,183,129
5,69,172
40,86,184
112,93,31
163,107,109
49,144,126
0,109,69
14,176,86
33,31,139
42,56,163
54,59,173
59,98,57
3,111,58
120,178,169
6,79,179
25,126,166
70,172,15
86,197,100
98,43,34
119,163,35
122,15,70
138,30,111
166,121,121
168,143,141
191,166,144
35,173,168
50,58,197
57,118,50
130,119,81
148,122,143
159,124,154
181,139,176
1,154,18
32,184,43
81,6,79
115,57,90
129,74,118
184,168,122
34,195,132
52,1,167
58,36,193
87,141,19
126,169,72
175,45,76
13,49,95
99,186,156
100,75,178
143,88,191
188,117,85
30,131,148
31,135,74
67,159,94
125,5,128
156,14,17
173,18,24
121,90,52
164,100,87
107,132,88
136,193,114
162,4,119
190,76,124
193,85,131
64,156,161
69,13,195
111,47,1
177,50,6
11,65,13
15,94,30
18,125,142
118,136,164
135,138,181
189,142,186
9,167,14
17,177,75
23,34,105
82,130,136
153,134,190
158,181,5
199,52,9
77,87,45
124,128,49
131,24,108
176,72,36
195,115,42
2,146,117
47,196,65
62,35,125
63,62,130
167,114,4
8,123,182
19,149,0
45,162,26
141,190,115
4,9,177
55,17,62
71,19,99
84,63,123
88,160,159
29,164,160
43,191,64
72,8,77
76,71,82
94,82,127
132,158,135
146,161,138
165,182,162
36,0,11
38,7,47
74,92,55
105,105,71
134,42,196
127,68,7
24,84,149
114,108,8
117,198,146
149,11,158
37,12,165
68,64,188
75,77,51
92,2,199
108,55,2
160,99,63
161,41,92
44,51,104
85,133,134
97,188,23
133,189,37
137,29,133
182,104,189
198,26,12
7,44,22
128,97,29
187,127,198
171,137,38
65,153,41
170,165,44
185,199,73
78,23,84
26,103,97
104,73,61
106,61,103
12,38,155
152,152,170
20,155,137
123,170,68
151,22,78
103,37,152
155,101,101
101,180,185
51,20,153
196,78,27
27,187,180
41,185,53
73,106,20
22,27,106
61,53,151
180,151,171
53,171,187
