24,70,77,86,2,88,7,13,23,6,22,68,66,69,73,72,75,74,76,81,3,82,26,1,10,83,11,84,71,5,31,78,18,27,4,85,25,46,12,89,16,42,35,49,8,79,87,19,56,17,0,15,21,30,28,29,33,80,20,34,36,59,41,37,43,32,65,38,39,50,47,48,52,53,40,54,55,44,58,62,14,45,61,63,64,51,60,9,57,67
28,69,77,80,5,84,10,15,21,2,25,70,66,67,72,73,74,76,78,79,6,81,22,3,4,86,9,83,71,8,27,75,14,29,1,89,30,43,13,85,17,40,33,51,7,82,88,19,53,20,0,16,23,24,31,37,32,87,18,34,36,60,39,38,44,26,65,42,48,46,47,49,52,56,35,54,55,41,58,59,11,45,64,63,62,50,57,12,61,68
27,68,74,80,2,86,10,16,24,4,22,61,69,70,73,72,75,77,81,78,9,84,23,0,7,83,8,82,71,5,30,76,13,25,1,85,26,44,12,88,18,40,35,49,6,79,89,20,54,17,3,15,21,29,28,32,34,87,19,33,38,66,39,37,42,31,64,43,46,47,51,48,53,55,36,56,57,41,59,58,14,45,63,60,65,50,52,11,62,67
25,65,72,82,6,85,11,15,23,4,20,68,70,67,74,75,71,77,78,80,3,81,22,2,5,83,8,84,73,10,30,76,12,27,0,87,24,42,13,89,21,44,34,51,7,79,88,18,55,16,1,17,26,32,28,31,33,86,19,35,39,58,36,37,41,29,66,45,43,47,48,50,54,52,40,53,57,38,62,60,9,46,63,64,69,49,56,14,59,61
22,68,76,82,5,89,11,13,19,3,25,67,71,66,74,72,75,78,77,79,6,81,20,4,2,80,8,83,70,9,32,73,10,27,1,87,26,44,15,85,23,38,33,48,7,84,86,16,56,17,0,21,18,28,29,34,31,88,24,35,37,60,42,40,41,30,69,43,45,47,49,50,53,52,36,57,58,39,55,59,14,46,63,62,64,51,54,12,61,65
24,71,75,83,3,85,10,11,23,7,22,66,68,69,70,73,72,77,76,81,2,84,21,5,4,80,6,82,74,9,30,78,14,25,1,86,28,49,15,87,17,40,36,48,8,79,89,19,55,16,0,18,20,29,31,34,33,88,27,32,35,62,38,39,41,26,64,44,45,46,47,50,51,56,37,54,57,42,58,59,13,43,63,61,65,52,53,12,60,67
24,73,77,76,5,84,11,16,22,4,23,69,70,72,65,74,71,80,75,81,3,83,21,2,6,86,8,82,68,9,31,79,13,28,1,88,25,42,14,89,15,40,33,50,7,78,87,17,57,19,0,18,20,30,29,36,32,85,26,34,35,62,38,39,45,27,66,44,46,49,47,48,54,51,37,52,56,41,61,58,12,43,60,64,63,53,55,10,59,67
20,68,75,81,7,79,9,14,24,4,27,66,69,73,71,72,74,77,78,80,2,82,18,1,8,83,10,84,70,6,32,76,12,29,0,87,26,47,15,88,16,39,36,50,5,85,89,17,53,21,3,19,23,25,28,34,30,86,22,33,43,60,38,35,40,31,67,45,42,48,49,51,52,54,37,55,56,41,59,58,13,46,62,64,63,44,57,11,61,65
24,75,73,80,4,84,13,16,25,5,23,67,69,70,71,68,74,77,76,79,3,81,22,2,6,83,8,85,72,9,31,78,14,27,1,86,26,45,12,88,19,38,36,49,10,82,87,21,53,18,0,15,20,29,28,32,33,89,17,34,37,57,41,39,43,30,66,44,40,47,48,50,52,54,35,55,59,42,60,56,11,46,63,65,64,51,58,7,62,61
26,71,75,81,6,85,10,17,22,5,24,67,65,68,73,77,72,74,80,78,2,82,25,3,4,76,8,83,69,7,31,79,14,23,1,86,28,44,12,89,19,39,37,50,9,87,88,16,54,18,0,15,20,29,27,40,30,84,21,34,35,60,38,36,43,32,62,41,46,47,49,48,52,55,33,56,53,45,58,59,13,42,61,64,66,51,57,11,63,70
