17,11,6,20,16,13,72,76,82,83,64,39,26,71,10,1,65,70,12,33,4,78,85,14,74,67,68,77,23,86,27,89,15,73,22,75,30,25,24,21,2,29,88,81,9,87,5,31,55,32,34,8,7,50,59,37,57,61,0,19,35,41,28,43,80,3,36,46,52,79,58,53,62,84,47,48,45,49,63,69,40,54,56,66,18,42,38,44,51,60
15,4,9,6,18,2,83,71,70,81,64,10,29,65,17,5,66,78,7,30,0,73,79,13,67,69,88,75,16,85,22,80,12,84,27,89,11,24,19,20,14,45,87,86,28,77,8,23,54,40,34,21,1,58,61,42,72,62,3,33,39,25,43,37,76,26,31,53,41,74,63,50,32,82,49,55,47,60,44,51,48,56,57,68,36,46,35,52,38,59
33,3,9,11,7,5,69,63,84,83,58,40,6,65,14,1,64,70,4,25,8,77,78,2,74,73,85,80,16,88,24,75,13,71,22,82,23,17,21,27,18,43,87,89,15,86,12,35,60,30,37,20,19,57,67,55,56,72,0,29,34,45,38,26,79,10,39,53,32,76,68,52,36,81,44,47,51,41,59,48,54,50,61,66,46,28,49,31,42,62
28,13,6,20,12,0,61,74,67,83,58,14,34,72,7,19,71,88,15,30,2,73,70,11,78,84,66,62,1,79,18,85,23,60,10,81,17,16,31,47,24,37,82,86,21,87,4,27,48,56,35,9,22,45,65,50,54,63,3,26,29,25,32,39,80,8,33,49,44,77,76,46,38,89,43,51,42,55,41,69,59,64,68,75,36,5,40,52,57,53
39,3,8,18,16,4,75,76,72,79,59,10,21,71,1,17,67,68,14,9,7,78,74,5,70,66,86,77,15,82,6,80,13,84,35,81,22,24,25,23,43,60,73,83,20,89,2,28,54,26,27,11,33,44,64,32,63,69,0,29,31,42,34,51,85,12,19,37,30,87,65,41,40,88,46,47,56,50,52,57,55,58,61,62,38,45,36,48,49,53
28,14,8,10,15,1,46,61,87,86,53,26,23,71,11,3,74,55,5,29,0,85,77,7,65,49,73,81,6,89,16,83,17,79,24,84,18,31,19,50,12,32,66,88,30,80,2,20,44,25,34,9,35,72,70,51,64,54,4,37,27,21,38,33,60,13,36,43,48,78,67,42,41,82,57,69,63,45,52,58,68,75,56,76,22,40,39,47,62,59
22,14,9,12,10,1,70,76,78,84,51,23,20,64,4,2,61,71,8,33,3,66,73,13,69,60,87,83,7,85,18,75,17,81,6,82,15,24,29,28,31,37,80,89,5,88,11,27,47,41,30,16,40,50,54,35,57,59,0,36,44,42,26,34,79,19,48,38,39,74,72,45,55,86,62,43,68,52,63,58,53,56,77,65,21,25,32,46,49,67
33,11,5,15,10,0,83,45,80,87,76,20,22,60,7,3,70,73,1,35,2,78,79,13,63,65,58,86,23,88,12,81,9,74,14,89,43,17,21,24,16,56,66,85,25,84,19,18,50,39,44,8,26,62,46,53,38,82,4,34,28,32,29,31,57,6,47,48,49,68,75,54,41,77,42,71,59,40,61,69,72,37,51,67,27,30,36,64,52,55
32,15,7,21,12,2,76,75,84,83,67,42,31,70,5,3,50,78,28,44,1,72,63,14,79,73,77,80,11,86,10,88,30,89,16,66,22,38,20,25,13,46,87,81,4,82,8,24,41,34,6,17,9,69,57,47,64,56,0,23,43,36,33,26,71,18,37,40,52,74,61,59,53,85,39,35,27,45,49,62,60,65,48,68,19,29,51,55,54,58
14,5,9,27,21,13,80,74,83,86,37,12,15,79,8,6,78,63,22,26,1,69,89,4,34,73,58,81,3,72,10,88,23,64,2,76,18,25,42,30,20,16,82,85,24,87,19,17,54,39,32,7,28,62,60,36,66,71,0,52,43,38,31,49,77,11,51,33,35,68,57,41,47,84,50,59,46,56,53,70,67,48,65,61,29,40,44,55,45,75
