0,1,2,0
1,1,1,1
2,1,4,1
3,0,0,1
4,0,1,1
5,1,2,1
6,1,3,1
7,1,4,1
8,0,2,0
9,1,3,1
10,1,1,1
11,1,0,1
12,0,0,1
13,1,2,0
14,1,2,0
15,0,2,1
16,1,0,0
17,0,2,0
18,0,3,1
19,1,4,1
20,1,3,1
21,0,0,1
22,0,4,1
23,1,2,1
24,0,1,1
25,0,2,1
26,0,2,1
27,1,1,1
28,0,2,0
29,1,0,0
30,0,2,1
31,0,3,1
32,0,2,1
33,0,3,1
34,1,2,1
35,1,2,1
36,0,1,1
37,1,1,1
38,1,1,1
39,0,2,0
40,0,1,0
41,0,0,1
42,1,1,0
43,0,4,0
44,0,2,1
45,0,3,0
46,0,3,0
47,1,2,1
48,0,3,0
49,1,3,0
50,0,2,0
51,0,1,1
52,1,3,1
53,0,1,1
54,0,2,0
55,1,0,0
56,1,1,1
57,1,4,0
58,0,2,1
59,0,1,0
60,0,1,0
61,0,2,1
62,1,1,1
63,1,4,1
64,1,0,0
65,0,4,1
66,0,3,0
67,0,2,0
68,1,2,1
69,0,2,0
70,1,2,1
71,1,4,1
72,0,2,0
73,0,2,1
74,0,3,1
75,0,2,1
76,0,2,0
77,0,2,0
78,1,2,1
79,1,2,1
80,1,0,0
81,0,2,1
82,0,3,1
83,0,3,0
84,1,3,1
85,0,2,1
86,0,1,1
87,0,2,0
88,0,1,1
89,0,2,0
90,1,0,0
91,0,2,1
92,1,4,1
93,1,2,0
94,0,1,0
95,1,3,1
96,0,3,1
97,1,4,1
98,0,1,0
99,1,2,1
100,1,4,1
101,1,1,1
102,1,2,1
103,0,3,1
104,0,4,1
105,0,4,1
106,1,2,0
107,0,2,1
108,1,4,1
109,1,3,1
110,0,2,0
111,0,2,0
112,0,3,1
113,1,1,0
114,0,3,0
115,1,3,0
116,0,2,0
117,0,3,1
118,0,3,1
119,1,2,1
120,0,0,0
121,0,0,1
122,1,2,0
123,0,1,1
124,0,0,1
125,1,3,1
126,0,0,0
127,1,4,0
128,0,2,1
129,0,2,0
130,1,3,1
131,0,2,1
132,0,4,0
133,0,1,1
134,1,4,1
135,1,3,1
136,1,2,1
137,1,2,1
138,1,0,0
139,1,1,0
140,1,1,0
141,0,3,0
142,1,3,1
143,0,1,1
144,1,2,0
145,1,0,0
146,1,1,1
147,1,1,0
148,1,3,1
149,1,4,1
150,0,3,0
151,1,3,1
152,0,3,1
153,1,1,0
154,1,2,1
155,1,4,1
156,1,4,0
157,1,3,1
158,1,3,0
159,1,2,1
160,0,3,1
161,0,4,0
162,1,1,0
163,0,1,0
164,0,0,0
165,0,2,1
166,0,2,1
167,0,3,0
168,1,0,1
169,1,1,1
170,0,3,1
171,1,1,0
172,1,1,0
173,0,0,1
174,1,3,0
175,0,3,0
176,0,2,1
177,0,1,0
178,1,2,0
179,1,2,1
180,0,1,1
181,1,1,0
182,0,2,0
183,1,3,0
184,0,1,0
185,0,2,1
186,1,2,0
187,1,3,0
188,1,2,0
189,1,3,0
190,0,3,0
191,0,1,0
192,0,3,1
193,0,1,0
194,1,2,0
195,0,2,1
196,0,4,1
197,1,2,0
198,0,1,1
199,1,1,1
